Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
R93.4     	საშარდე ორგანოების დიაგნოსტიკური კვლევით გამოვლენილი ნორმიდან გადახრილი მონაცემები (R93.4)	0
R93.5     	მუცლის სხვა მიდამოების, მათ შორის რეტროპერიტონეუმის დიაგნოსტიკური გამოკვლევით გამოვლენილი ნორმიდან გადახრილი მონაცემები (R93.5)	0
R93.6     	კიდურების დიაგნოსტიკური გამოკვლევით გამოვლენილი ნორმიდან გადახრილი მონაცემები (R93.6)	0
R93.7     	ძვალ-კუნთოვანი სისტემის სხვა ნაწილების დიაგნოსტიკური გამოკვლევით გამოვლენილი ნორმიდან გადახრილი მონაცემები (R93.7)	0
R93.8     	სხეულის სხვა დაზუსტებული სტრუქტურების დიაგნოსტიკური გამოკვლევით გამოვლენილი ნორმიდან გადახრილი მონაცემები (R93.8)	0
R94.0     	ცენტრალური ნერვული სისტემის ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.0)	0
R94.1     	პერიფერიული ნერვული სისტემის და გრძნობის ორგანოების ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.1)	0
R94.2     	ფილტვების ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.2)	0
R94.3     	გულ-სისხლძარღვთა სისტემის ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.3)	0
R94.4     	თირკმლის ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.4)	0
R94.5     	ღვიძლის ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.5)	0
R94.6     	ფარისებრი ჯირკვლის ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.6)	0
R94.7     	სხვა ენდოკრინული ორგანოების ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.7)	0
R94.8     	სხვა ორგანოებისა და სისტემების ფუნქციური გამოკვლევით მიღებული ნორმიდან გადახრილი მონაცემები (R94.8)	0
R95.0     	ჩვილი ბავშვის უეცარი სიკვდილის სინდრომი, მოხსენიებით აუტოფსიაზე (R95.0)	0
R95.9     	ჩვილი ბავშვის უეცარი სიკვდილის სინდრომი, მოხსენიების გარეშე აუტოფსიაზე (R95.9)	0
R96.0     	მყისიერი სიკვდილი (R96.0)	0
R96.1     	სიკვდილი, რომელიც დგება სიმპტომების გაჩენიდან არაუგვიანეს 24 სთ-სა, რომელსაც არა აქვს სხვა ახსნა (R96.1)	0
R98       	სიკვდილი მოწმეების გარეშე (R98)	0
R99       	სიკვდილის სხვა დაუზუსტებელი და არაზუსტად განსაზღვრული მიზეზები (R99)	0
S00.0     	სკალპის ზედაპირული ტრავმა (S00.0)	0
S00.1     	ქუთუთოს და პერიოკულური მიდამოს კონტუზია (S00.1)	0
S00.2     	ქუთუთოსა და პერიოკულური მიდამოს სხვა ზედაპირული ტრავმები (S00.2)	0
S00.3     	ცხვირის ზედაპირული ტრავმა (S00.3)	0
S00.4     	ყურის ზედაპირული ტრავმა (S00.4)	0
S00.5     	ტუჩისა და პირის ღრუს ზედაპირული ტრავმა (S00.5)	0
S00.7     	თავის მრავლობითი ზედაპირული ტრავმა (S00.7)	0
S00.8     	თავის სხვა ნაწილების ზედაპირული ტრავმა (S00.8)	0
S00.9     	თავის ზედაპირული ტრავმა, დაუზუსტებელი ლოკალიზაციის (S00.9)	0
S01.0     	სკალპის ღია ჭრილობა (S01.0)	0
S01.1     	ქუთუთოსა და პერიოკულური არის ღია ჭრილობა (S01.1)	0
S01.2     	ცხვირის ღია ჭრილობა (S01.2)	0
S01.3     	ყურის ღია ჭრილობა (S01.3)	0
S01.4     	ლოყისა და საფეთქელ-ქვედაყბის არის ღია ჭრილობა (S01.4)	0
S01.5     	ტუჩის და პირის ღრუს ღია ჭრილობა (S01.5)	0
S01.7     	თავის მრავლობითი ღია ჭრილობები (S01.7)	0
S01.8     	თავის სხვა ნაწილების ღია ჭრილობა (S01.8)	0
S01.9     	თავის ღია ჭრილობა, დაუზუსტებელი (S01.9)	0
S02.0     	ქალასარქვლის მოტეხილობა (S02.0)	0
S02.1     	ქალას ფუძის მოტეხილობა (S02.1)	0
S02.2     	ცხვირის ძვლების მოტეხილობა (S02.2)	0
S02.3     	თვალბუდის ფსკერის მოტეხილობა (S02.3)	0
S02.4     	ყვრიმალისა და ზედაყბის ძვლების მოტეხილობა (S02.4)	0
S02.5     	კბილის მოტეხილობა (S02.5)	0
S02.6     	ქვედა ყბის მოტეხილობა (S02.6)	0
S02.7     	ქალასა და სახის ძვლებს მრავლობითი მოტეხილობები (S02.7)	0
S02.8     	ქალასა და სახის სხვა ძვლების მოტეხილობა (S02.8)	0
S02.9     	ქალასა და სახის ძვლების მოტეხილობა, ნაწილი დაუზუსტებელი (S02.9)	0
S03.0     	ყბის ამოვარდნილობა (S03.0)	0
S03.1     	ცხვირის ძგიდის ხრტილის ამოვარდნილობა (S03.1)	0
S03.2     	კბილის ამოვარდნილობა (S03.2)	0
S03.3     	თავის სხვა და დაუზუსტებელი ნაწილის ამოვარდნილობა (S03.3)	0
S03.4     	ყბის სახსრის (იოგების) დაძაბულობა და დაჭიმულობა (S03.4)	0
S03.5     	თავის სხვა და დაუზუსტებელი ნაწილების სახსრებისა და იოგების დაძაბულობა და დაჭიმულობა (S03.5)	0
S04.0     	მხედველობის ნერვისა და გზების ტრავმა (S04.0)	0
S04.1     	თვალის მამოძრავებელი ნერვის ტრავმა (S04.1)	0
S04.2     	ჭაღისებრი ნერვის ტრავმა (S04.2)	0
S04.3     	სამწვერა ნერვის ტრავმა (S04.3)	0
S04.4     	განმზიდველი ნერვის ტრავმა (S04.4)	0
S04.5     	სახის ნერვის ტრავმა (S04.5)	0
S04.6     	სმენის ნერვის ტრავმა (S04.6)	0
S04.7     	დამატებითი ნერვის ტრავმა (S04.7)	0
S04.8     	სხვა კრანიული ნერვების ტრავმა (S04.8)	0
S04.9     	დაუზუსტებელი კრანიალური ნერვის ტრავმა (S04.9)	0
S05.0     	კონიუნქტივის ტრავმა და ნაკაწრები რქოვანაზე უცხო სხეულის აღნიშვნის გარეშე (S05.0)	0
S05.1     	თვალის კაკლისა და თვალბუდის ქსოვილთა დაჟეჟილობა (S05.1)	0
S05.2     	თვალის ნაფლეთი ჭრილობა თვალისშიდა ქსოვილის გამოვარდნით ან დაკარგვით (S05.2)	0
S05.3     	თვალის ნაფლეთი ჭრილობა თვალშიდა ქსოვილის გამოვარდნის ან დაკარგვის გარეშე (S05.3)	0
S05.4     	თვალბუდის გამჭოლი ჭრილობა უცხო სხეულით ან მის გარეშე (S05.4)	0
S05.5     	თვალის კაკლის გამჭოლი ჭრილობა უცხო სხეულით (S05.5)	0
S05.6     	თვალის კაკლის გამჭოლი ჭრილობა უცხო სხეულის გარეშე თვალის გამჭოლი ჭრილობა, რომელიც სხვაგვარად არ არის დაზუსტებული (S05.6)	0
S05.7     	თვალის კაკლის მოწყვეტა (S05.7)	0
S05.8     	თვალისა და თვალბუდის სხვა ტრავმები (S05.8)	0
S05.9     	თვალისა და თვალბუდის ტრავმა დაუზუსტებელი ნაწილის (S05.9)	0
S06.0     	თავის ტვინის შერყევა    
Commotio cerebri (S06.0)	0
S06.1     	თავის ტვინის ტრავმული შეშუპება (S06.1)	0
S06.2     	თავის ტვინის დიფუზური ტრავმა (S06.2)	0
S06.3     	თავის ტვინის კეროვანი ტრავმა (S06.3)	0
S06.4     	ეპიდურული სისხლჩაქცევა (S06.4)	0
S06.5     	ტრავმული სუბდურული სისხლჩაქცევა (S06.5)	0
S06.6     	ტრავმული სუბარაქნოიდული სისხლჩაქცევა (S06.6)	0
S06.7     	ქალასშიდა ტრავმა გახანგრძლივებული კომით (S06.7)	0
S06.8     	სხვა ინტრაკრანიული ტრავმები (S06.8)	0
S06.9     	ინტრაკრანიული ტრავმა, დაუზუსტებელი (S06.9)	0
S07.0     	სახის გაჭყლეტა (S07.0)	0
S07.1     	თავის ქალას გაჭყლეტა (S07.1)	0
S07.8     	თავის სხვა ნაწილების გაჭყლეტა (S07.8)	0
S07.9     	თავის გაჭყლეტა, დაუზუსტებელი ნაწილის (S07.9)	0
S08.0     	სკალპის მოგლეჯა (S08.0)	0
S08.1     	ყურის ტრავმული ამპუტაცია (S08.1)	0
S08.8     	თავის სხვა ნაწილების ტრავმული ამპუტაცია (S08.8)	0
S08.9     	თავის დაუზუსტებელი ნაწილის ტრავმული ამპუტაცია (S08.9)	0
S09.0     	თავის სისხლძარღვების ტრავმა, რომლებიც არ არის შეტანილი სხვა რუბრიკებში (S09.0)	0
S09.1     	თავის კუნთებისა და მყესების ტრავმა (S09.1)	0
S09.2     	ყურის აპკის ტრავმული გასკდომა (S09.2)	0
S09.7     	თავის მრავლობითი ტრავმები (S09.7)	0
S09.8     	თავის სხვა დაზუსტებული ტრავმები (S09.8)	0
S09.9     	თავის დაუზუსტებელი ტრავმები (S09.9)	0
S10.0     	ყელის დაჟეჟილობა (კონტუზია) (S10.0)	0
S10.1     	ყელის სხვა და დაუზუსტებელი ზედაპირული ტრავმები (S10.1)	0
S10.7     	კისრის მრავლობითი ზედაპირული ტრავმები (S10.7)	0
S10.8     	კისრის სხვა ნაწილების ზედაპირული ტრავმა (S10.8)	0
S10.9     	კისრის ზედაპირული ტრავმა, დაუზუსტებელი ნაწილი (S10.9)	0
S11.0     	ღია ჭრილობა, რომელიც ეხება ხორხსა და სასულეს (S11.0)	0
S11.1     	ღია ჭრილობა, რომელიც მოიცავს ფარისებრ ჯირკვალს (S11.1)	0
S11.2     	ღია ჭრილობა, რომელიც ეხება ხახასა და საყლაპავის კისრის ნაწილს (S11.2)	0
S11.7     	კისრის მრავლობითი ღია ჭრილობები (S11.7)	0
S11.8     	კისრი სხვა ნაწილების ღია ჭრილობა (S11.8)	0
S11.9     	კისრის ღია ჭრილობა, დაუზუსტებელი ნაწილით (S11.9)	0
S12.0     	კისრის პირველი მალის მოტეხილობა (S12.0)	0
S12.1     	კისრის მეორე მალის მოტეხილობა (S12.1)	0
S12.2     	კისრის სხვა დაზუსტებული მალის მოტეხილობა (S12.2)	0
S12.7     	ხერხემლის კისრის ნაწილის მრავლობითი მოტეხილობები (S12.7)	0
S12.8     	კისრის სხვა ნაწილების მოტეხილობა (S12.8)	0
S12.9     	კისრის მოტეხილობა, დაუზუსტებელი ნაწილი (S12.9)	0
S13.0     	კისრის მალთაშუა დისკების ტრავმული გასკდომა (S13.0)	0
S13.1     	კისრის მალის დისლოკაცია (S13.1)	0
S13.2     	კისრის სხვა და დაუზუსტებელი ნაწილის დისლოკაცია (S13.2)	0
S13.3     	მრავლობითი ამოვარდნილობა კისრის დონეზე (S13.3)	0
S13.4     	ხერხემლის კისრის ნაწილის დაძაბულობა და დაჭიმულობა (S13.4)	0
S13.5     	ფარისებრი ჯირკვლის მიდამოს დაძაბულობა და დაჭიმულობა (S13.5)	0
S13.6     	კისრის სხვა და დაუზუსტებელი ნაწილის სახსრების იოგების დაძაბულობა და დაჭიმულობა (S13.6)	0
S14.0     	ზურგის ტვინის კისრის ნაწილის კონტუზია და შეშუპება (S14.0)	0
S14.1     	ზურგის ტვინის კისრის ნაწილის სხვა და დაუზუსტებელი ტრავმები (S14.1)	0
S14.2     	ხერხემლის კისრის ნაწილის ნერვის ფესვის ტრავმა (S14.2)	0
S14.3     	მხრის წნულის ტრავმა (S14.3)	0
S14.4     	კისრის პერიფერიული ნერვების ტრავმა (S14.4)	0
S14.5     	კისრის სიმპათიკური ნერვების ტრავმა (S14.5)	0
S14.6     	კისრის სხვა და დაუზუსტებელი ნერვების ტრავმა, (S14.6)	0
S15.0     	საძილე არტერიის ტრავმა (S15.0)	0
S15.1     	ხერხემლის არტერიის ტრავმა (S15.1)	0
S15.2     	გარეთა საუღლე ვენის ტრავმა (S15.2)	0
S15.3     	შიგნითა საუღლე ვენის ტრავმა (S15.3)	0
S15.7     	სისხლძარღვების მრავლობითი ტრავმა კისრის დონეზე (S15.7)	0
S15.8     	სხვა სისხლძარღვების ტრავმა კისრის დონეზე (S15.8)	0
S15.9     	დაუზუსტებელი სისხლძარღვების ტრავმა კისრის დონეზე (S15.9)	0
S16       	კუნთის და მყესის ტრავმა კისრის დონეზე (S16)	0
S17.0     	ხორხის და ტრაქეის გაჭყლეტა (S17.0)	0
S17.8     	კისრის სხვა ნაწილების გაჭყლეტა (S17.8)	0
S17.9     	კისრის გაჭყლეტა, დაუზუსტებელი ნაწილი (S17.9)	0
S18       	ტრავმული ამპუტაცია კისრის დონეზე (S18)	0
S19.7     	კისრის მრავლობითი ტრავმები (S19.7)	0
S19.8     	კისრის სხვა დაზუსტებული ტრავმები (S19.8)	0
S19.9     	კისრის დაუზუსტებელი ტრავმა (S19.9)	0
S20.0     	სარძევე ჯირკვლის ტრავმები (S20.0)	0
S20.1     	სარძევე ჯირკვლის სხვა და დაუზუსტებელი ზედაპირული ტრავმები (S20.1)	0
S20.2     	გულმკერდის ტრავმები (S20.2)	0
S20.3     	გულმკერდის წინა კედლის სხვა ზედაპირული ტრავმა (S20.3)	0
S20.4     	გულმკერდის უკანა კედლის სხვა ზედაპირული ტრავმები (S20.4)	0
S20.7     	გულმკერდის მრავალობითი ზედაპირული ტრავმები (S20.7)	0
S20.8     	გულმკერდის სხვა და დაუზუსტებელი ნაწილის ზედაპირული ტრავმები გულმკერდის კედელი, რომელიც სხვაგვარად არ არის დაზუსტებული (S20.8)	0
S21.0     	სარძევე ჯირკვლის ღია ჭრილობა (S21.0)	0
S21.1     	გულმკერდის წინა კედლის ღია ჭრილობა (S21.1)	0
S21.2     	გულმკერდის უკანა კედლის ღია ჭრილობა (S21.2)	0
S21.7     	გულმკერდის კედლის მრავლობითი ღია ჭრილობები (S21.7)	0
S21.8     	გულმკერდის სხვა ნაწილის ღია ჭრილობა (S21.8)	0
S21.9     	გულმკერდის ღია ჭრილობა, დაუზუსტებელი ნაწილი გულმკერდის კედელი, რომელიც სხვაგვარად არ არის დაზუსტებული (S21.9)	0
S22.0     	გულმკერდის მალის მოტეხილობა ხერხემლის გულმკერდის ნაწილის მოტეხილობა, რომელიც სხვაგვარად არ არის დაზუსტებული (S22.0)	0
S22.1     	ხერხემლის გულმკერდის ნაწილის მრავლობითი მოტეხილობა (S22.1)	0
S22.2     	მკერდის ძვლის მოტეხილობა (S22.2)	0
S22.3     	ნეკნის მოტეხილობა (S22.3)	0
S22.4     	ნეკნების მრავლობითი მოტეხილობა (S22.4)	0
S22.5     	ჩავარდნილი გულმკერდი (S22.5)	0
S22.8     	გულმკერდის ძვლოვანი ნაწილის სხვა მიდამოს მოტეხილობა (S22.8)	0
S22.9     	გულმკერდის ძვლოვანი ნაწილის მოტეხილობა, დაუზუსტებელი ნაწილი (S22.9)	0
S23.0     	გულმკერდის მალთაშუა დისკის ტრავმული გაგლეჯა (S23.0)	0
S23.1     	გულმკერდის მალის ამოვარდნილობა (S23.1)	0
S23.2     	გულმკერდის მალის ამოვარდნილობა ხერხემლის გულმკერდის ნაწილის, რომელიც სხვაგვარად არ არის დაზუსტებული (S23.2)	0
S23.3     	გულმკერდის სხვა და დაუზუსტებელი ნაწილების ამოვარდნილობა (S23.3)	0
S23.4     	ნეკნებისა და მკერდის ძვლის იოგების დაჭიმულობა და დაძაბულობა (S23.4)	0
S23.5     	გულმკერდის სხვა და დაუზუსტებელი ნაწილების იოგების დაჭიმულობა და დაძაბულობა (S23.5)	0
S24.0     	ზურგის ტვინის გულმკერდის ნაწილის დაჟეჟილობა და შეშუპება (S24.0)	0
S24.1     	ზურგის ტვინის გულმკერდის ნაწილის სხვა და დაუზუსტებელი ტრავმა (S24.1)	0
S24.2     	ხერხემლის გულმკერდის ნაწილის ნერვული ფესვის ტრავმა (S24.2)	0
S24.3     	გულმკერდის პერიფერიული ნერვების ტრავმა (S24.3)	0
S24.4     	გულმკერდის სიმპათიკური ნერვების დაჟეჟილობა (S24.4)	0
S24.5     	გულმკერდის სხვა ნერვების ტრავმა (S24.5)	0
S24.6     	გულმკერდის დაუზუსტებელი ნერვების ტრავმა (S24.6)	0
S25.0     	გულმკერდის აორტის ტრავმა (S25.0)	0
S25.1     	უსახელო ან ლავიწქვეშა არტერიის ტრავმა (S25.1)	0
S25.2     	ზედა ღრუ ვენის ტრავმა (S25.2)	0
S25.3     	უსახელო ან ლავიწქვეშა ვენის ტრავმა (S25.3)	0
S25.4     	ფილტვის სისხლძარღვების ტრავმა (S25.4)	0
S25.5     	ნეკნთაშუა სისხლძარღვების ტრავმა (S25.5)	0
S25.7     	გულმკერდის სისხლძარღვების მრავლობითი ტრავმა (S25.7)	0
S25.8     	გულმკერდის სხვა სისხლმილების ტრავმა (S25.8)	0
S25.9     	გულმკერდის დაუზუსტებელი სისხლმილების ტრავმა (S25.9)	0
S26.0     	გულის ტრავმა ჰემოპერიკარდიუმით (S26.0)	0
S26.8     	გულის სხვა ტრავმები (S26.8)	0
S26.9     	გულის ტრავმა, დაუზუსტებელი (S26.9)	0
S27.0     	ტრავმული პნევმოთორაქსი (S27.0)	0
S27.1     	ტრავმული ჰემოთორაქსი (S27.1)	0
S27.2     	ტრავმული ჰემოპნევმოთორაქსი (S27.2)	0
S27.3     	ფილტვის სხვა ტრავმები (S27.3)	0
S27.4     	ბრონქების ტრავმა (S27.4)	0
S27.5     	ტრაქეის გულმკერდის ნაწილის ტრავმა (S27.5)	0
S27.6     	პლევრის ტრავმა (S27.6)	0
S27.7     	გულმკერდის ღრუს ორგანოთა მრავლობითი ტრავმა (S27.7)	0
S27.8     	გულმკერდის ღრუს სხვა დაზუსტებული ორგანოების ტრავმა (S27.8)	0
S27.9     	გულმკერდის ღრუს დაუზუსტებელი ორგანოს ტრავმა (S27.9)	0
S28.0     	გაჭყლეტილი გულმკერდი (S28.0)	0
S28.1     	გულმკერდის ნაწილის ტრავმული ამპუტაცია (S28.1)	0
S29.0     	კუნთის და მყესის ტრავმა გულმკერდის დონეზე (S29.0)	0
S29.7     	გულმკერდის მრავლობითი ტრავმები (S29.7)	0
S29.8     	გულმკერდის სხვა დაზუსტებული ტრავმები (S29.8)	0
S29.9     	გულმკერდის ტრავმა, დაუზუსტებელი (S29.9)	0
S30.0     	ზურგის ქვედა ნაწილის და მენჯის დაჟეჟილობა (S30.0)	0
S30.1     	მუცლის კედლის დაჟეჟილობა (S30.1)	0
S30.2     	გარეთა სასქესო ორგანოების დაჟეჟილობა (S30.2)	0
S30.7     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის მრავლობითი ზედაპირული ტრავმა (S30.7)	0
S30.8     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა ზედაპირული ტრავმები (S30.8)	0
S30.9     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის ზედაპირული ტრავმები, დაუზუსტებელი (S30.9)	0
S31.0     	ზურგის ქვედა ნაწილისა და მენჯის ღია ჭრილობა (S31.0)	0
S31.1     	მუცლის კედლის ღია ჭრილობა (S31.1)	0
S31.2     	სასქესო ასოს ღია ჭრილობა (S31.2)	0
S31.3     	სკროტუმის და სათესლეს ღია ჭრილობა (S31.3)	0
S31.4     	საშოს და ვულვის ღია ჭრილობა (S31.4)	0
S31.5     	გარეთა სასქესო ორგანოების სხვა და დაუზუსტებელი ღია ჭრილობები (S31.5)	0
S31.7     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის მრავლობითი ღია ჭრილობები (S31.7)	0
S31.8     	მუცლის სხვა და დაუზუსტებელი ნაწილების ღია ჭრილობა (S31.8)	0
S32.0     	წელის მალის მოტეხილობა (S32.0)	0
S32.1     	გავის მოტეხილობა (S32.1)	0
S32.2     	კუდუსუნის მოტეხილობა (S32.2)	0
S32.3     	თეძოს ძვლის მოტეხილობა (S32.3)	0
S32.4     	ტაბუხის მოტეხილობა (S32.4)	0
S32.5     	ბოქვენის ძვლის მოტეხილობა (S32.5)	0
S32.7     	ხერხემლის გავა-წელის ნაწილის და მენჯის მრავლობითი მოტეხილობა (S32.7)	0
S32.8     	ხერხემლის გავა-წელის ნაწილის და მენჯის სხვა და დაუზუსტებელი ნაწილების მოტეხილობები (S32.8)	0
S33.0     	გავა-წელის მალთაშუა დისკების ტრავმული გაგლეჯა (S33.0)	0
S33.1     	წელის მალის ამოვარდნილობა (S33.1)	0
S33.2     	გავა-თეძოს და გავა-კუდუსუნის სახსრების ღრძობა (S33.2)	0
S33.3     	ხერხემლის წელის ნაწილის სახსრების და იოგების და მენჯის სხვა და დაუზუსტებელი ნაწილების ამოვარდნილობა (S33.3)	0
S33.4     	ბოქვენის სიმფიზის ტრავმული გაგლეჯა (S33.4)	0
S33.5     	ხერხემლის წელის ნაწილის სახსრებისა და იოგების დაჭიმვა და გადაძაბვა (S33.5)	0
S33.6     	გავა-თეძოს სახსრის და იოგების დაჭიმვა და გადაძაბვა (S33.6)	0
S33.7     	ხერხემლის წელის ნაწილის და მენჯის სხვა და დაუზუსტებელი სახსრებისა და იოგების დაჭიმვა და გადაძაბვა (S33.7)	0
S34.0     	ზურგის ტვინის წელის ნაწილის დაჟეჟილობა (S34.0)	0
S34.1     	ზურგის ტვინის წელის ნაწილის სხვა ტრავმა (S34.1)	0
S34.2     	ზურგის ტვინის წელის და გავის ნაწილის ნერვული ფესვის ტრავმა (S34.2)	0
S34.3     	რაშის კუდის ტრავმა გავა-წელის ნერვული წნულის ტრავმა (S34.3)	0
S34.4     	გავა–წელის ნერვული წნულის ტრავმა (S34.4)	0
S34.5     	წელის, გავის და მენჯის სიმპათიკური ნერვების ტრავმა (S34.5)	0
S34.6     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის პერიფერიული ნერვების ტრავმა (S34.6)	0
S34.8     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა და დაუზუსტებელი ნერვების ტრავმა (S34.8)	0
S35.0     	მუცლის აორტის ტრავმა (S35.0)	0
S35.1     	ქვედა ღრუ ვენის ტრავმა (S35.1)	0
S35.2     	ფაშვის ან ჯორჯლის არტერიის ტრავმა (S35.2)	0
S35.3     	კარის ან ელენთის ვენის ტრავმა (S35.3)	0
S35.4     	თირკმლის სისხლძარღვების ტრავმა (S35.4)	0
S35.5     	თეძოს სისხლძარღვების ტრავმა (S35.5)	0
S35.7     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სისხლძარღვების მრავლობითი ტრავმა (S35.7)	0
S35.8     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა სისხლძარღვების ტრავმა (S35.8)	0
S35.9     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის დონეზე დაზუსტებული სისხლძარღვების ტრავმა (S35.9)	0
S36.0     	ელენთის ტრავმა (S36.0)	0
S36.1     	ღვიძლის ან ნაღვლის ბუშტის ტრავმა (S36.1)	0
S36.2     	პანკრეასის ტრავმა კუჭის ტრავმა (S36.2)	0
S36.3     	კუჭის ტრავმა (S36.3)	0
S36.4     	წვრილი ნაწლავის ტრავმა (S36.4)	0
S36.5     	კოლინჯის ტრავმა (S36.5)	0
S36.6     	სწორი ნაწლავის ტრავმა (S36.6)	0
S36.7     	მუცლის ღრუს ორგანოების მრავლობითი ტრავმა (S36.7)	0
S36.8     	მუცლის ღრუს სხვა ორგანოების ტრავმა (S36.8)	0
S36.9     	მუცლის ღრუს დაუზუსტებელი ორგანოს ტრავმა (S36.9)	0
S37.0     	თირკმლის ტრავმა (S37.0)	0
S37.1     	შარდსაწვეთის ტრავმა (S37.1)	0
S37.2     	შარდის ბუშტის ტრავმა (S37.2)	0
S37.3     	შარდსადენის ტრავმა (S37.3)	0
S37.4     	საკვერცხის ტრავმა (S37.4)	0
S37.5     	ფალოპიუსის მილის ტრავმა (S37.5)	0
S37.6     	საშვილოსნოს ტრავმა (S37.6)	0
S37.7     	მენჯის ორგანოების მრავლობითი ტრავმა (S37.7)	0
S37.8     	მენჯის სხვა ორგანოების ტრავმა (S37.8)	0
S37.9     	მენჯის დაუზუსტებელი ორგანოს ტრავმა (S37.9)	0
S38.0     	გარეთა სასქესო ორგანოების გაჭყლეტა (S38.0)	0
S38.1     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა ნაწილების გაჭყლეტა (S38.1)	0
S38.2     	გარეთა სასქესო ორგანოების ტრავმული ამპუტაცია (S38.2)	0
S38.3     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა და დაუზუსტებელი ნაწილების ტრავმული ამპუტაცია (S38.3)	0
S39.0     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის კუნთის და მყესის ტრავმა (S39.0)	0
S39.6     	მუცლის ღრუს ორგანო(ებ)ის ტრავმა მენჯის ორგანო(ებ)თან ერთად (S39.6)	0
S39.7     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა მრავლობითი ტრავმები (S39.7)	0
S39.8     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის სხვა და დაზუსტებული ტრავმები (S39.8)	0
S39.9     	მუცლის, ზურგის ქვედა ნაწილის და მენჯის დაუზუსტებელი ტრავმები (S39.9)	0
S40.0     	მხრის სარტყლისა და მხრის დაჟეჟილობა (S40.0)	0
S40.7     	მხრის სარტყლისა და მხრის მრავლობითი ზედაპირული ტრავმები (S40.7)	0
S40.8     	მხრის სარტყლისა და მხრის სხვა, ზედაპირული ტრავმები (S40.8)	0
S40.9     	მხრის სარტყლისა და მხრის ზედაპირული ტრავმა, დაუზუსტებელი (S40.9)	0
S41.0     	მხრის სარტყლის ღია ჭრილობა (S41.0)	0
S41.1     	მხრის ღია ჭრილობა (S41.1)	0
S41.7     	მხრის სარტყლისა და მხრის მრავლობითი ღია ჭრილობები (S41.7)	0
S41.8     	მხრის სარტყლის და სხვა დაუზუსტებელი ნაწილების ღია ჭრილობა (S41.8)	0
S42.0     	ლავიწის მოტეხილობა (S42.0)	0
S42.1     	ბეჭის მოტეხილობა (S42.1)	0
S42.2     	მხრის ძვლის ზედა ბოლოს მოტეხილობა (S42.2)	0
S42.3     	მხრის ძვლის სხეულის (დიაფიზი) მოტეხილობა (S42.3)	0
S42.4     	მხრის ძვლის ქვედა ბოლოს მოტეხილობა (S42.4)	0
S42.7     	ლავიწის, ბეჭის და მხრის ძვლის მრავლობითი მოტეხილობები (S42.7)	0
S42.8     	მხრის სარტყლისა და მხრის სხვა ნაწილების მოტეხილობა (S42.8)	0
S42.9     	მხრის სარტყლის მოტეხილობა, დაუზუსტებელი ნაწილი (S42.9)	0
S43.0     	მხრის სარტყლის ღრძობა (S43.0)	0
S43.1     	ლავიწ-აკრომიონის სახსრის ღრძობა (S43.1)	0
S43.2     	მკერდ-ლავიწის სახსრის ღრძობა (S43.2)	0
S43.3     	მხრის სარტყლის სხვა და დაუზუსტებელი ნაწილის ღრძობა (S43.3)	0
S43.4     	მხრის სარტყლის სახსრების და იოგების დაჭიმვა და გადაძაბვა (S43.4)	0
S43.5     	ლავიწ-აკრომიონის სახსრის და იოგების დაჭიმვა და გადაძაბვა (S43.5)	0
S43.6     	მკერდ-ლავიწის სახსრის და იოგების დაჭიმვა და გადაძაბვა (S43.6)	0
S43.7     	მხრის სარტყლის სხვა და დაუზუსტებელი ნაწილების დაჭიმვა და გადაძაბვა (S43.7)	0
S44.0     	იდაყვის ნერვის ტრავმა მხრის დონეზე (S44.0)	0
S44.1     	შუათანა ნერვის ტრავმა მხრის დონეზე (S44.1)	0
S44.2     	სხივის ნერვის ტრავმა მხრის დონეზე (S44.2)	0
S44.3     	იღლიის ნერვის ტრავმა (S44.3)	0
S44.4     	კუნთ-კანის ნერვის ტრავმა (S44.4)	0
